AGE,FITNESS_CLASS_NAME,GENDER,MARITAL_STATUS,PROFESSION,SIGN_UP_REASON
27.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
56.0,Zumba,F,Unspecified,Hospitality,Lose Weight
45.0,Pilates,M,Married,Retired,Tone
45.0,Pilates,M,Married,Retired,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
49.0,Yoga,F,Married,Other,Tone
49.0,Yoga,F,Married,Other,Tone
47.0,Pilates,M,Married,Retired,Tone
47.0,Pilates,M,Married,Retired,Tone
21.0,Yoga,M,Single,Retail,Build Muscle
66.0,Zumba,F,Married,Other,Tone
35.0,Zumba,F,Married,Professional,Lose Weight
20.0,Yoga,M,Single,Sales,Tone
20.0,Yoga,M,Single,Sales,Tone
20.0,Yoga,M,Single,Sales,Tone
37.0,Zumba,F,Single,Other,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
24.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
24.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
29.0,Yoga,M,Single,Retail,Tone
29.0,Yoga,M,Single,Retail,Tone
43.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
43.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
43.0,Bodybuilding Bootcamp,F,Unspecified,Hospitality,Build Muscle
43.0,Bodybuilding Bootcamp,F,Unspecified,Hospitality,Build Muscle
43.0,Zumba,F,Unspecified,Hospitality,Build Muscle
43.0,Zumba,F,Unspecified,Hospitality,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
41.0,Yoga,M,Married,Professional,Maintain
32.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
34.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
18.0,Zumba,F,Single,Student,Lose Weight
31.0,Bodybuilding Bootcamp,F,Married,Executive,Tone
28.0,Bodybuilding Bootcamp,M,Single,Trades,Build Muscle
24.0,Yoga,F,Single,Student,Tone
29.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
29.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
68.0,Zumba,F,Unspecified,Hospitality,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
33.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
33.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
33.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
54.0,Yoga,F,Married,Other,Tone
54.0,Yoga,F,Married,Other,Tone
54.0,Yoga,F,Married,Other,Tone
38.0,Pilates,M,Married,Executive,Tone
38.0,Pilates,M,Married,Executive,Tone
38.0,Pilates,M,Married,Executive,Tone
24.0,Yoga,M,Single,Other,Tone
24.0,Yoga,F,Unspecified,Other,Tone
24.0,Yoga,F,Unspecified,Other,Tone
20.0,Zumba,F,Single,Retail,Build Muscle
20.0,Bodybuilding Bootcamp,F,Single,Retail,Build Muscle
29.0,Zumba,F,Single,Professional,Lose Weight
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
49.0,Zumba,F,Unspecified,Hospitality,Lose Weight
26.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
51.0,Zumba,F,Unspecified,Hospitality,Lose Weight
29.0,Yoga,M,Single,Professional,Tone
33.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
47.0,Yoga,M,Married,Professional,Tone
38.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Professional,Lose Weight
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
33.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
20.0,Yoga,F,Single,Professional,Tone
31.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
31.0,Zumba,F,Single,Other,Build Muscle
42.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
42.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
42.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
21.0,Bodybuilding Bootcamp,M,Single,Trades,Build Muscle
65.0,Yoga,F,Married,Other,Lose Weight
65.0,Yoga,F,Married,Other,Build Muscle
41.0,Zumba,F,Unspecified,Hospitality,Build Muscle
41.0,Zumba,F,Unspecified,Hospitality,Lose Weight
17.0,Zumba,M,Single,Student,Lose Weight
55.0,Pilates,M,Married,Trades,Tone
55.0,Pilates,M,Married,Trades,Build Muscle
55.0,Pilates,M,Married,Trades,Tone
55.0,Pilates,M,Married,Trades,Tone
52.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
34.0,Zumba,F,Single,Retail,Build Muscle
25.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
25.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
25.0,Bodybuilding Bootcamp,M,Single,Other,Tone
18.0,Zumba,F,Single,Retail,Lose Weight
19.0,Zumba,F,Single,Other,Lose Weight
36.0,Yoga,M,Single,Professional,Tone
33.0,Yoga,M,Married,Professional,Tone
33.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
30.0,Zumba,F,Single,Professional,Lose Weight
29.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
29.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
21.0,Yoga,M,Single,Sales,Tone
21.0,Spin Class,M,Single,Sales,Lose Weight
44.0,Yoga,F,Married,Other,Maintain
21.0,Zumba,M,Single,Student,Build Muscle
21.0,Zumba,M,Single,Student,Maintain
46.0,Pilates,M,Married,Trades,Tone
47.0,Yoga,F,Married,Sales,Tone
34.0,Zumba,F,Single,Professional,Lose Weight
24.0,Zumba,F,Single,Professional,Lose Weight
27.0,Zumba,F,Single,Retail,Build Muscle
28.0,Zumba,F,Single,Professional,Lose Weight
26.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
26.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
23.0,Zumba,F,Single,Professional,Lose Weight
27.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
26.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
26.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
20.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
